Transect,CRE_SW,CRE_LW,CRE_net,Cloud_frac_pct,Precip_mm_yr,CAPE_J_kg,TCWV_kg_m2
Coast (50-45W),-53.7,39.5,-14.3,69.0,2122.3,447.8,47.8
East (55-50W),-56.1,39.7,-16.4,75.1,2165.7,479.4,48.9
Central (60-55W),-60.7,47.2,-13.5,77.7,2696.8,766.1,50.6
West (65-60W),-65.9,54.3,-11.6,81.1,2885.8,951.7,52.8
Interior (70-65W),-70.0,56.5,-13.6,83.3,2936.2,970.3,53.1
Andes (75-70W),-72.5,53.3,-19.2,84.1,2883.7,941.4,52.3
