Transect,CRE_SW,CRE_LW,CRE_net,Cloud_frac_pct,Precip_mm_yr,CAPE_J_kg,TCWV_kg_m2
Congo T1 (15-18E),-58.5,49.4,-9.1,77.8,1464.5,1275.0,45.7
Congo T2 (18-21E),-58.2,54.7,-3.6,80.2,1615.7,1514.9,46.2
Congo T3 (21-24E),-62.1,56.3,-5.8,81.3,1484.8,1354.0,44.8
Congo T4 (24-27E),-65.0,57.1,-7.9,83.0,1677.8,1387.1,43.8
Congo T5 (27-30E),-67.1,57.3,-9.8,81.2,2439.5,767.3,35.3
