Transect,Season,CRE_SW,CRE_LW,CRE_net,Cloud_frac_pct
Coast (50-45W),wet,-70.0,59.3,-10.8,83.2
East (55-50W),wet,-73.8,54.7,-19.1,86.1
Central (60-55W),wet,-80.2,58.9,-21.3,86.8
West (65-60W),wet,-79.7,61.6,-18.1,87.0
Interior (70-65W),wet,-80.4,64.2,-16.2,88.2
Andes (75-70W),wet,-81.9,59.9,-22.0,88.3
